"Received","Subject","Destination","Reason","Attachments","Status"
"6/2/2026 4:38:54 AM","Receipt of Payment - REIP0000763 - 6/2/2026","Banks","Banks/REIP0000763","","moved"
"6/1/2026 3:58:29 AM","REInsurePro Installment Due - REIP0000763","Banks","Banks/REIP0000763","Program Participation Agreement.pdf; MIRATTACHMENT1D20260601b10f0411ce394f55a92c037e78a5fd61.xlsx; MIR Invoice REIP - REIP0000763.pdf","moved"
"5/28/2026 10:59:58 AM","RE: no loss statement","","no confident match","","left in Insurance"
"5/27/2026 4:16:34 PM","no loss statement","","no confident match","NCJUA Statement of no loss.pdf","left in Insurance"
"5/23/2026 4:05:33 AM","Next Installment in 10 days - REIP0000763","Banks","Banks/REIP0000763","Program Participation Agreement.pdf; MIRATTACHMENT1020260523e35d1c7ad6664ec39779a72660682b80.xlsx; MIR Invoice REIP - REIP0000763.pdf","moved"
"5/18/2026 3:44:06 PM","RE: 3325 Banks Rd, Raleigh","Banks","Banks/REIP0000763","image001.jpg; 3325 Banks 6k sq ft closed building.pdf; 33256 Banks Rd 6k sq ft finished apt insurance.pdf","moved"
"5/15/2026 4:23:41 PM","RE: 3325 Banks Rd, Raleigh","Banks","Banks/REIP0000763","image001.jpg","moved"
"5/15/2026 1:38:43 PM","RE: 3325 Banks Rd, Raleigh","Banks","Banks/REIP0000763","image001.jpg","moved"
"5/13/2026 10:26:17 AM","RE: 3325 Banks Rd","Banks","Banks/REIP0000763","image001.jpg; Apartment Building Open Building under construction.pdf; Apartment Building Under Construction, Closed.pdf; Apartment Building Insurance after built.pdf","moved"
"5/12/2026 3:54:53 PM","RE: 3325 Banks Rd","Banks","Banks/REIP0000763","image001.jpg","moved"
"5/8/2026 9:47:19 AM","RE: Rocket Mortgage Update","NCJUASYH","320 Rose/SYH","Rose Pl Receipt.pdf","moved"
"5/2/2026 4:53:04 AM","Receipt of Payment - REIP0000763 - 5/2/2026","Banks","Banks/REIP0000763","","moved"
"5/1/2026 3:59:13 AM","REInsurePro Installment Due - REIP0000763","Banks","Banks/REIP0000763","Program Participation Agreement.pdf; MIRATTACHMENT1D20260501e8a0fdb8b7714d73b2d26750a97f73f6.xlsx; MIR Invoice REIP - REIP0000763.pdf","moved"
"4/29/2026 12:10:06 PM","RE: Rocket Mortgage Update","NCJUASYH","320 Rose/SYH","","moved"
"4/24/2026 11:36:00 AM","RE: Britton","NCJUA401K","Britton/BYH 401K","","moved"
"4/22/2026 4:03:22 AM","Next Installment in 10 days - REIP0000763","Banks","Banks/REIP0000763","Program Participation Agreement.pdf; MIRATTACHMENT10202604224f557be2bb034a23ae7f933ee19d1191.xlsx; MIR Invoice REIP - REIP0000763.pdf","moved"
"4/15/2026 3:35:02 PM","RE: 3325 Banks Rd","Banks","Banks/REIP0000763","image001.jpg","moved"
"4/14/2026 10:18:03 AM","Cool Springs Rd","StateHM","State Farm HM property","","moved"
"4/2/2026 4:40:28 AM","Unsuccessful Payment - REIP0000763 - 4/2/2026","Banks","Banks/REIP0000763","","moved"
"4/2/2026 4:40:27 AM","Unsuccessful Payment - REIP0000763 - 4/2/2026","Banks","Banks/REIP0000763","","moved"
"4/1/2026 3:57:47 AM","REInsurePro Installment Due - REIP0000763","Banks","Banks/REIP0000763","Program Participation Agreement.pdf; MIRATTACHMENT1D202604015165fc5c920b47c9b3fbd3d40103cd38.xlsx; MIR Invoice REIP - REIP0000763.pdf","moved"
"3/27/2026 11:10:11 AM","RE: 115 Rosebrooks Dr, 3325 Banks Rd Quotes","Banks","Banks/REIP0000763","","moved"
"3/26/2026 3:50:18 PM","RE: 115 Rosebrooks Dr, 3325 Banks Rd Quotes","Banks","Banks/REIP0000763","3325 Banks Rd, NCJUA Declarations, Heritage Management.pdf; 3325 Banks Rd NCJUA Billing.pdf","moved"
"3/26/2026 9:54:25 AM","RE: 115 Rosebrooks Dr, 3325 Banks Rd Quotes","Banks","Banks/REIP0000763","","moved"
"3/25/2026 4:39:18 PM","RE: 908 Pond St, Builders Risk NCJUA Quote","StateBYH","908 Pond/State Farm BYH","908 Pond St, Buy Your Home, Declarations Page.pdf; 908 Pond St, Buy Your Home Receipt.pdf","moved"
"3/25/2026 4:35:46 PM","115 Rosebrooks Dr, 3325 Banks Rd Quotes","Banks","Banks/REIP0000763","115 Rosebrooks, Heritage Management Quote.pdf; 3325 Banks St, Quote.pdf","moved"
"3/25/2026 4:23:32 PM","RE: 908 Pond St, Builders Risk NCJUA Quote","StateHM","State Farm HM property","","moved"
"3/25/2026 4:05:28 PM","RE: 908 Pond St, Builders Risk NCJUA Quote","StateHM","State Farm HM property","","moved"
"3/25/2026 2:40:29 PM","MyCoverageInfo Information Received","","no confident match","","left in Insurance"
"3/25/2026 2:39:37 PM","RE: 3325 Banks Rd, Raleigh, NC 27603","Banks","Banks/REIP0000763","image001.jpg","moved"
"3/25/2026 2:21:43 PM","115 Rosebrooks Dr","StateHM","State Farm HM property","image001.jpg","moved"
"3/25/2026 1:43:39 PM","RE: 908 Pond St, Builders Risk NCJUA Quote","StateHM","State Farm HM property","","moved"
"3/25/2026 1:03:39 PM","RE: 908 Pond St, Builders Risk NCJUA Quote","StateBYH","908 Pond/State Farm BYH","","moved"
"3/25/2026 1:03:28 PM","RE: 320 Rose Pl Quote","NCJUASYH","320 Rose/SYH","","moved"
"3/25/2026 12:58:49 PM","Imcovered Confirmation","","no confident match","","left in Insurance"
"3/25/2026 12:36:40 PM","Chat Transcript From: Shellpoint Mortgage Loans","NCJUASYH","320 Rose/SYH","","moved"
"3/25/2026 12:16:52 PM","908 Pond St, Builders Risk NCJUA Quote","StateBYH","908 Pond/State Farm BYH","908 Pond St, NCJUA Quote.pdf","moved"
"3/25/2026 12:12:17 PM","320 Rose Pl Quote","NCJUASYH","320 Rose/SYH","320 Rose Pl NCJUA Quote.pdf","moved"
"3/25/2026 11:54:54 AM","612 Britton Ct NCJUA policy documents","NCJUA401K","Britton/BYH 401K","612 Britton Ct, BYH 401K Declarations.pdf; 612 Britton Ct, Billing.pdf","moved"
